[zipcode=]충북 제천시 강제동 강저휴먼시아2단지아파트 (201∼205동) 49800 ]
[zipcode=]충북 제천시 강제동 강저휴먼시아3단지아파트 (301∼309동) 49801 ]
[zipcode=]충북 제천시 강제동  49802 ]
[zipcode=]충북 청주시 흥덕구 남촌동  50217 ]
[zipcode=]충북 청주시 흥덕구 내곡동  50218 ]
[zipcode=]충북 청주시 흥덕구 동막동  50219 ]
[zipcode=]충북 청주시 흥덕구 모충동 금호아파트  50220 ]
[zipcode=]충북 청주시 흥덕구 모충동 서원대학교  50221 ]
[zipcode=]충북 청주시 흥덕구 모충동 주공아파트  50222 ]
[zipcode=]충북 청주시 흥덕구 모충동 1∼229 50223 ]
[zipcode=]충북 청주시 흥덕구 모충동 230∼380 50224 ]
[zipcode=]충북 청주시 흥덕구 모충동 381∼492 50225 ]
[zipcode=]충북 청주시 흥덕구 모충동 493∼750 50226 ]
[zipcode=]충북 청주시 흥덕구 모충동  50227 ]
[zipcode=]충북 청주시 흥덕구 문암동  50228 ]
[zipcode=]충북 청주시 흥덕구 미평동 청주교도소  50229 ]
[zipcode=]충북 청주시 흥덕구 미평동  50230 ]
[zipcode=]충북 청주시 흥덕구 복대1동 삼화전기  50231 ]
[zipcode=]충북 청주시 흥덕구 복대1동 서청주우체국  50232 ]
[zipcode=]충북 청주시 흥덕구 복대1동 영조아파트 (101∼208동) 50233 ]
[zipcode=]충북 청주시 흥덕구 복대1동 청주금호어울림아파트 (101∼211동) 50234 ]
[zipcode=]충북 청주시 흥덕구 복대1동 청주세무서  50235 ]
[zipcode=]충북 청주시 흥덕구 복대1동 1∼42 50236 ]
[zipcode=]충북 청주시 흥덕구 복대1동 43∼118 50237 ]
[zipcode=]충북 청주시 흥덕구 복대1동 151∼202 50238 ]
[zipcode=]충북 청주시 흥덕구 복대1동 203∼504 50239 ]
[zipcode=]충북 청주시 흥덕구 복대1동 505∼690 50240 ]
[zipcode=]충북 청주시 흥덕구 복대1동 781∼848 50241 ]
[zipcode=]충북 청주시 흥덕구 복대1동 2449∼3098 50242 ]
[zipcode=]충북 청주시 흥덕구 복대1동  50243 ]
[zipcode=]충북 청주시 흥덕구 복대2동 119∼150 50244 ]
[zipcode=]충북 청주시 흥덕구 복대2동 691∼780 50245 ]
[zipcode=]충북 청주시 흥덕구 복대2동 849∼979 50246 ]
[zipcode=]충북 청주시 흥덕구 복대2동 980∼993 50247 ]
[zipcode=]충북 청주시 흥덕구 복대2동 994∼1405 50248 ]
[zipcode=]충북 청주시 흥덕구 복대2동 1406∼1499 50249 ]
[zipcode=]충북 청주시 흥덕구 복대2동 1500∼1896 50250 ]
[zipcode=]충북 청주시 흥덕구 복대2동 1897∼2007 50251 ]
[zipcode=]충북 청주시 흥덕구 복대2동 2008∼2197 50252 ]
[zipcode=]충북 청주시 흥덕구 복대2동 2198∼2448 50253 ]
[zipcode=]충북 청주시 흥덕구 복대2동  50254 ]
[zipcode=]충북 청주시 흥덕구 복대동  50255 ]
[zipcode=]충북 청주시 흥덕구 봉명1동 주공1단지아파트 (1∼52동) 50256 ]
[zipcode=]충북 청주시 흥덕구 봉명1동 166∼235 50257 ]
[zipcode=]충북 청주시 흥덕구 봉명1동 754∼1286 50258 ]
[zipcode=]충북 청주시 흥덕구 봉명1동  50259 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 2200∼4000 50260 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 LG사원아파트  50261 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 LG여자기숙사  50262 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 삼정아파트  50263 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 인화빌딩  50264 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 주공2단지아파트 (101∼119동) 50265 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 청주흥덕경찰서  50266 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 푸른아파트  50267 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 현대아이파크아파트 (101∼119동) 50268 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 1∼165 50269 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 236∼753 50270 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 1287∼1839 50271 ]
[zipcode=]충북 청주시 흥덕구 봉명2동 1840∼2199 50272 ]
[zipcode=]충북 청주시 흥덕구 봉명2동  50273 ]
[zipcode=]충북 청주시 흥덕구 봉명동  50274 ]
[zipcode=]충북 청주시 흥덕구 분평동 대원아파트 (901∼907동) 50275 ]
[zipcode=]충북 청주시 흥덕구 분평동 대전지방노동청청주지청  50276 ]
[zipcode=]충북 청주시 흥덕구 분평동 보성아파트  50277 ]
[zipcode=]충북 청주시 흥덕구 분평동 분평1단지뜨란채아파트 (101∼113동) 50278 ]
[zipcode=]충북 청주시 흥덕구 분평동 우성1차아파트 (101∼105동) 50279 ]
[zipcode=]충북 청주시 흥덕구 분평동 우성2차아파트 (201∼206동) 50280 ]
[zipcode=]충북 청주시 흥덕구 분평동 주공2차아파트 (201∼216동) 50281 ]
[zipcode=]충북 청주시 흥덕구 분평동 주공3차아파트 (301∼325동) 50282 ]
[zipcode=]충북 청주시 흥덕구 분평동 주공4차아파트 (401∼415동) 50283 ]
[zipcode=]충북 청주시 흥덕구 분평동 주공5차아파트 (501∼516동) 50284 ]
[zipcode=]충북 청주시 흥덕구 분평동 주공6차아파트 (601∼616동) 50285 ]
[zipcode=]충북 청주시 흥덕구 분평동 주공7차아파트 (701∼714동) 50286 ]
[zipcode=]충북 청주시 흥덕구 분평동 주은아파트 (908∼915동) 50287 ]
[zipcode=]충북 청주시 흥덕구 분평동 한국농촌공사충북지역본부  50288 ]
[zipcode=]충북 청주시 흥덕구 분평동 현대대우아파트 (801∼812동) 50289 ]
[zipcode=]충북 청주시 흥덕구 분평동 1∼320 50290 ]
[zipcode=]충북 청주시 흥덕구 분평동 321∼1261 50291 ]
[zipcode=]충북 청주시 흥덕구 분평동 1262∼1550 50292 ]
[zipcode=]충북 청주시 흥덕구 분평동  50293 ]
[zipcode=]충북 청주시 흥덕구 비하동 계룡리슈빌아파트 (101∼106동) 50294 ]
[zipcode=]충북 청주시 흥덕구 비하동 비하계룡리슈빌2차아파트 (201∼212동) 50295 ]
[zipcode=]충북 청주시 흥덕구 비하동 효성아파트  50296 ]
[zipcode=]충북 청주시 흥덕구 비하동 1∼34 50297 ]
[zipcode=]충북 청주시 흥덕구 비하동 35∼1000 50298 ]
[zipcode=]충북 청주시 흥덕구 비하동  50299 ]
[zipcode=]충북 청주시 흥덕구 사직1동 KT서청주지사  50300 ]
[zipcode=]충북 청주시 흥덕구 사직1동 흥덕구청  50301 ]
[zipcode=]충북 청주시 흥덕구 사직1동 133∼144 50302 ]
[zipcode=]충북 청주시 흥덕구 사직1동 145∼165 50303 ]
[zipcode=]충북 청주시 흥덕구 사직1동 171∼200 50304 ]
[zipcode=]충북 청주시 흥덕구 사직1동 201∼236 50305 ]
[zipcode=]충북 청주시 흥덕구 사직1동 237∼351 50306 ]
[zipcode=]충북 청주시 흥덕구 사직1동 503∼537 50307 ]
[zipcode=]충북 청주시 흥덕구 사직1동 538∼586 50308 ]
[zipcode=]충북 청주시 흥덕구 사직1동 735∼781 50309 ]
[zipcode=]충북 청주시 흥덕구 사직1동 782∼923 50310 ]
[zipcode=]충북 청주시 흥덕구 사직1동  50311 ]
[zipcode=]충북 청주시 흥덕구 사직2동 국민건강보험공단청주동부지사  50312 ]
[zipcode=]충북 청주시 흥덕구 사직2동 청주푸르지오캐슬아파트 (101∼508동) 50313 ]
[zipcode=]충북 청주시 흥덕구 사직2동 1∼132 50314 ]
[zipcode=]충북 청주시 흥덕구 사직2동 166∼170 50315 ]
[zipcode=]충북 청주시 흥덕구 사직2동 352∼502 50316 ]
[zipcode=]충북 청주시 흥덕구 사직2동 587∼730 50317 ]
[zipcode=]충북 청주시 흥덕구 사직2동 731∼734 50318 ]
[zipcode=]충북 청주시 흥덕구 사직2동  50319 ]
[zipcode=]충북 청주시 흥덕구 사직동  50320 ]
[zipcode=]충북 청주시 흥덕구 사창동 SK텔레콤충북지사  50321 ]
[zipcode=]충북 청주시 흥덕구 사창동 사창대원칸타빌아파트 (101∼111동) 50322 ]
[zipcode=]충북 청주시 흥덕구 사창동 삼성생명빌딩  50323 ]
[zipcode=]충북 청주시 흥덕구 사창동 충청일보  50324 ]
[zipcode=]충북 청주시 흥덕구 사창동 1∼185 50325 ]
[zipcode=]충북 청주시 흥덕구 사창동 186∼255 50326 ]
[zipcode=]충북 청주시 흥덕구 사창동 256∼650 50327 ]
[zipcode=]충북 청주시 흥덕구 사창동  50328 ]
[zipcode=]충북 청주시 흥덕구 산남동 대원칸타빌아파트 (101∼108동) 50329 ]
[zipcode=]충북 청주시 흥덕구 산남동 대원칸타빌아파트 (201∼208동) 50330 ]
[zipcode=]충북 청주시 흥덕구 산남동 부영사랑으로아파트 (101∼112동) 50331 ]
[zipcode=]충북 청주시 흥덕구 산남동 산남계룡리슈빌아파트 (101∼112동) 50332 ]
[zipcode=]충북 청주시 흥덕구 산남동 산남퀸덤아파트 (101∼109동) 50333 ]
[zipcode=]충북 청주시 흥덕구 산남동 산남푸르지오아파트 (101∼113동) 50334 ]
[zipcode=]충북 청주시 흥덕구 산남동 유승한내들아파트 (101∼107동) 50335 ]
[zipcode=]충북 청주시 흥덕구 산남동 청주여자교도소  50336 ]
[zipcode=]충북 청주시 흥덕구 산남동 청주지방검찰청  50337 ]
[zipcode=]충북 청주시 흥덕구 산남동 청주지방법원  50338 ]
[zipcode=]충북 청주시 흥덕구 산남동 청주현진에버빌아파트 (101∼108동) 50339 ]
[zipcode=]충북 청주시 흥덕구 산남동 충청북도교육청  50340 ]
[zipcode=]충북 청주시 흥덕구 산남동  50341 ]
[zipcode=]충북 청주시 흥덕구 상신동  50342 ]
[zipcode=]충북 청주시 흥덕구 서촌동  50343 ]
[zipcode=]충북 청주시 흥덕구 석곡동  50344 ]
[zipcode=]충북 청주시 흥덕구 석소동  50345 ]
[zipcode=]충북 청주시 흥덕구 성화동 성화주공1단지아파트 (101∼108동) 50346 ]
[zipcode=]충북 청주시 흥덕구 성화동 호반베르디움아파트 (101∼113동) 50347 ]
[zipcode=]충북 청주시 흥덕구 성화동  50348 ]
[zipcode=]충북 청주시 흥덕구 송절동  50349 ]
[zipcode=]충북 청주시 흥덕구 송정동 (주)심텍  50350 ]
[zipcode=]충북 청주시 흥덕구 송정동 (주)에이치앤티  50351 ]
[zipcode=]충북 청주시 흥덕구 송정동 LG화학청주공장  50352 ]
[zipcode=]충북 청주시 흥덕구 송정동 LS산전청주1공장  50353 ]
[zipcode=]충북 청주시 흥덕구 송정동 대원모방  50354 ]
[zipcode=]충북 청주시 흥덕구 송정동 롯데햄우유  50355 ]
[zipcode=]충북 청주시 흥덕구 송정동 맥슨전자  50356 ]
[zipcode=]충북 청주시 흥덕구 송정동 신흥기업  50357 ]
[zipcode=]충북 청주시 흥덕구 송정동 우성모직  50358 ]
[zipcode=]충북 청주시 흥덕구 송정동 정식품  50359 ]
[zipcode=]충북 청주시 흥덕구 송정동 조광피혁  50360 ]
[zipcode=]충북 청주시 흥덕구 송정동 한국도자기(1)  50361 ]
[zipcode=]충북 청주시 흥덕구 송정동 한국도자기(2)  50362 ]
[zipcode=]충북 청주시 흥덕구 송정동 한국폴리텍Ⅳ대학청주캠퍼스  50363 ]
[zipcode=]충북 청주시 흥덕구 송정동  50364 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 LH충북지역본부  50365 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 산남주공1단지아파트 (101∼131동) 50366 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 산남주공3단지아파트 (301∼307동) 50367 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 청주교육대학교  50368 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 1∼29 50369 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 30∼38 50370 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 39∼59 50371 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 60∼67 50372 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 68∼69 50373 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 70∼76 50374 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 77∼81 50375 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 82∼229 50376 ]
[zipcode=]충북 청주시 흥덕구 수곡1동 230∼350 50377 ]
[zipcode=]충북 청주시 흥덕구 수곡1동  50378 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 두진하트리움아파트 (101∼106동) 50379 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 산남주공2단지아파트 (201∼209동) 50380 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 산남주공4단지아파트 (401∼411동) 50381 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 세원청실아파트  50382 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 세원홍실아파트  50383 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 청주우편집중국  50384 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 한마음1차아파트  50385 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 한마음2차아파트  50386 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 351∼577 50387 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 578∼774 50388 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 775∼777 50389 ]
[zipcode=]충북 청주시 흥덕구 수곡2동 778∼1021 50390 ]
[zipcode=]충북 청주시 흥덕구 수곡2동  50391 ]
[zipcode=]충북 청주시 흥덕구 수곡동  50392 ]
[zipcode=]충북 청주시 흥덕구 수의동  50393 ]
[zipcode=]충북 청주시 흥덕구 신대동  50394 ]
[zipcode=]충북 청주시 흥덕구 신봉동 삼성아파트  50395 ]
[zipcode=]충북 청주시 흥덕구 신봉동 삼정아파트  50396 ]
[zipcode=]충북 청주시 흥덕구 신봉동 운천주공아파트  50397 ]
[zipcode=]충북 청주시 흥덕구 신봉동 1∼314 50398 ]
[zipcode=]충북 청주시 흥덕구 신봉동 315∼550 50399 ]
[zipcode=]충북 청주시 흥덕구 신봉동  50400 ]
[zipcode=]충북 청주시 흥덕구 신성동  50401 ]
[zipcode=]충북 청주시 흥덕구 신전동  50402 ]
[zipcode=]충북 청주시 흥덕구 신촌동  50403 ]
[zipcode=]충북 청주시 흥덕구 외북동  50404 ]
[zipcode=]충북 청주시 흥덕구 운천동 국민건강보험공단청주서부지사  50405 ]
[zipcode=]충북 청주시 흥덕구 운천동 삼일아파트  50406 ]
[zipcode=]충북 청주시 흥덕구 운천동 진양아파트  50407 ]
[zipcode=]충북 청주시 흥덕구 운천동 1∼1209 50408 ]
[zipcode=]충북 청주시 흥덕구 운천동 1210∼2000 50409 ]
[zipcode=]충북 청주시 흥덕구 운천동  50410 ]
[zipcode=]충북 청주시 흥덕구 원평동  50411 ]
[zipcode=]충북 청주시 흥덕구 장성동  50412 ]
[zipcode=]충북 청주시 흥덕구 장암동  50413 ]
[zipcode=]충북 청주시 흥덕구 정봉동  50414 ]
[zipcode=]충북 청주시 흥덕구 죽림동 가경주공아파트 (301∼307동) 50415 ]
[zipcode=]충북 청주시 흥덕구 죽림동 가경주공아파트 (401∼410동) 50416 ]
[zipcode=]충북 청주시 흥덕구 죽림동  50417 ]
[zipcode=]충북 청주시 흥덕구 지동동  50418 ]
[zipcode=]충북 청주시 흥덕구 평동  50419 ]
[zipcode=]충북 청주시 흥덕구 향정동 LG전자청주공장  50420 ]
[zipcode=]충북 청주시 흥덕구 향정동 매그나칩반도체  50421 ]
[zipcode=]충북 청주시 흥덕구 향정동 하이닉스반도체여자기숙사  50422 ]
[zipcode=]충북 청주시 흥덕구 향정동 하이닉스반도체청주사업장  50423 ]
[zipcode=]충북 청주시 흥덕구 향정동  50424 ]
[zipcode=]충북 청주시 흥덕구 현암동  50425 ]
[zipcode=]충북 청주시 흥덕구 화계동  50426 ]
[zipcode=]충북 청주시 흥덕구 휴암동  50427 ]
[zipcode=]충북 청주시 흥덕구 서청주우체국사서함  50428 ]
[zipcode=]충북 충주시 가주동  50429 ]
[zipcode=]충북 충주시 교현2동 건국대학교의료원충주병원  50430 ]
[zipcode=]충북 충주시 교현2동 교현아파트  50431 ]
[zipcode=]충북 충주시 교현2동 청주지방법원충주지원  50432 ]
[zipcode=]충북 충주시 교현2동 360∼368 50433 ]
[zipcode=]충북 충주시 교현2동 370∼374 50434 ]
[zipcode=]충북 충주시 교현2동 379∼386 50435 ]
[zipcode=]충북 충주시 교현2동 509∼765 50436 ]
[zipcode=]충북 충주시 교현2동 1084∼1900 50437 ]
[zipcode=]충북 충주시 교현2동  50438 ]
[zipcode=]충북 충주시 교현동 근로복지공단충주지사  50439 ]
[zipcode=]충북 충주시 교현동 남산주공아파트 (101∼308동) 50440 ]
[zipcode=]충북 충주시 교현동 중흥S클래스아파트 (101∼106동) 50441 ]
[zipcode=]충북 충주시 교현동 1∼359 50442 ]
[zipcode=]충북 충주시 교현동 369 50443 ]
[zipcode=]충북 충주시 교현동 375∼378 50444 ]
[zipcode=]충북 충주시 교현동 387∼508 50445 ]
[zipcode=]충북 충주시 교현동 766∼1083 50446 ]
[zipcode=]충북 충주시 교현동  50447 ]
[zipcode=]충북 충주시 금릉동 국민건강보험공단충주지사  50448 ]
[zipcode=]충북 충주시 금릉동 국민연금공단충주지사  50449 ]
[zipcode=]충북 충주시 금릉동 충주시청  50450 ]
[zipcode=]충북 충주시 금릉동  50451 ]
[zipcode=]충북 충주시 단월동 건국대학교GLOCAL캠퍼스  50452 ]
[zipcode=]충북 충주시 단월동  50453 ]
[zipcode=]충북 충주시 달천동  50454 ]
[zipcode=]충북 충주시 목벌동  50455 ]
[zipcode=]충북 충주시 목행동 코스모신소재(주)충주지점  50456 ]
[zipcode=]충북 충주시 목행동 한라비발디아파트 (101∼111동) 50457 ]
[zipcode=]충북 충주시 목행동  50458 ]
[zipcode=]충북 충주시 문화동 럭키문화아파트  50459 ]
[zipcode=]충북 충주시 문화동 1∼200 50460 ]
[zipcode=]충북 충주시 문화동 201∼1400 50461 ]
[zipcode=]충북 충주시 문화동 1401∼1900 50462 ]
[zipcode=]충북 충주시 문화동 1901∼2700 50463 ]
[zipcode=]충북 충주시 문화동 2701∼4000 50464 ]
[zipcode=]충북 충주시 문화동  50465 ]
[zipcode=]충북 충주시 봉방동 1∼200 50466 ]
[zipcode=]충북 충주시 봉방동 201∼600 50467 ]
[zipcode=]충북 충주시 봉방동  50468 ]
[zipcode=]충북 충주시 성남동  50469 ]
[zipcode=]충북 충주시 성내동 충주우체국  50470 ]
[zipcode=]충북 충주시 성내동  50471 ]
[zipcode=]충북 충주시 성서동  50472 ]
[zipcode=]충북 충주시 안림동 안림LG아파트 (101∼106동) 50473 ]
[zipcode=]충북 충주시 안림동  50474 ]
[zipcode=]충북 충주시 연수동 계룡리슈빌아파트 (101∼107동) 50475 ]
[zipcode=]충북 충주시 연수동 두진1차아파트  50476 ]
[zipcode=]충북 충주시 연수동 두진2차아파트  50477 ]
[zipcode=]충북 충주시 연수동 두진3차아파트  50478 ]
[zipcode=]충북 충주시 연수동 삼성2차아파트 (101∼106동) 50479 ]
[zipcode=]충북 충주시 연수동 세원연수아파트  50480 ]
[zipcode=]충북 충주시 연수동 세원한아름아파트  50481 ]
[zipcode=]충북 충주시 연수동 연수아이파크 (101∼109동) 50482 ]
[zipcode=]충북 충주시 연수동 연수힐스테이트아파트 (101∼111동) 50483 ]
[zipcode=]충북 충주시 연수동 유원1차아파트  50484 ]
[zipcode=]충북 충주시 연수동 유원2차아파트  50485 ]
[zipcode=]충북 충주시 연수동 임광아파트  50486 ]
[zipcode=]충북 충주시 연수동 주공1단지아파트 (101∼118동) 50487 ]
[zipcode=]충북 충주시 연수동 주공2단지아파트 (201∼208동) 50488 ]
[zipcode=]충북 충주시 연수동 주공3단지아파트 (301∼308동) 50489 ]
[zipcode=]충북 충주시 연수동 주공4단지아파트 (401∼411동) 50490 ]
[zipcode=]충북 충주시 연수동 주공5단지아파트 (501∼503동) 50491 ]
[zipcode=]충북 충주시 연수동 주공6단지아파트 (601∼607동) 50492 ]
[zipcode=]충북 충주시 연수동 한우리부강아파트  50493 ]
[zipcode=]충북 충주시 연수동 1∼550 50494 ]
[zipcode=]충북 충주시 연수동 551∼700 50495 ]
[zipcode=]충북 충주시 연수동 701∼1500 50496 ]
[zipcode=]충북 충주시 연수동  50497 ]
[zipcode=]충북 충주시 용관동  50498 ]
[zipcode=]충북 충주시 용두동  50499 ]
[zipcode=]충북 충주시 용산동 영진보람아파트  50500 ]
[zipcode=]충북 충주시 용산동 주공1단지아파트 (1∼16동) 50501 ]
[zipcode=]충북 충주시 용산동 주공2단지아파트 (201∼208동) 50502 ]
[zipcode=]충북 충주시 용산동 주공3단지아파트 (301∼309동) 50503 ]
[zipcode=]충북 충주시 용산동  50504 ]
[zipcode=]충북 충주시 용탄동  50505 ]
[zipcode=]충북 충주시 종민동  50506 ]
[zipcode=]충북 충주시 지현동  50507 ]
[zipcode=]충북 충주시 직동  50508 ]
[zipcode=]충북 충주시 충의동  50509 ]
[zipcode=]충북 충주시 충인동  50510 ]
[zipcode=]충북 충주시 칠금동 부영1차아파트  50511 ]
[zipcode=]충북 충주시 칠금동 부영2차아파트  50512 ]
[zipcode=]충북 충주시 칠금동 코오롱동신아파트 (101∼107동) 50513 ]
[zipcode=]충북 충주시 칠금동 코오롱동신아파트 (201∼207동) 50514 ]
[zipcode=]충북 충주시 칠금동 현대아파트 (101∼106동) 50515 ]
[zipcode=]충북 충주시 칠금동 1∼500 50516 ]
[zipcode=]충북 충주시 칠금동 501∼1500 50517 ]
[zipcode=]충북 충주시 칠금동  50518 ]
[zipcode=]충북 충주시 풍동  50519 ]
[zipcode=]충북 충주시 호암동 세경아파트  50520 ]
[zipcode=]충북 충주시 호암동 세영더조은아파트 (101∼107동) 50521 ]
[zipcode=]충북 충주시 호암동 1∼200 50522 ]
[zipcode=]충북 충주시 호암동 201∼1000 50523 ]
[zipcode=]충북 충주시 호암동  50524 ]
[zipcode=]충북 충주시 주덕읍 당우리  50525 ]
[zipcode=]충북 충주시 주덕읍 대곡리  50526 ]
[zipcode=]충북 충주시 주덕읍 덕련리  50527 ]
[zipcode=]충북 충주시 주덕읍 사락리  50528 ]
[zipcode=]충북 충주시 주덕읍 삼청리  50529 ]
[zipcode=]충북 충주시 주덕읍 신양리  50530 ]
[zipcode=]충북 충주시 주덕읍 신중리  50531 ]
[zipcode=]충북 충주시 주덕읍 장록리  50532 ]
[zipcode=]충북 충주시 주덕읍 제내리  50533 ]
[zipcode=]충북 충주시 주덕읍 창전리  50534 ]
[zipcode=]충북 충주시 주덕읍 화곡리  50535 ]
[zipcode=]충북 충주시 주덕읍  50536 ]
[zipcode=]충북 충주시 가금면 가흥리  50537 ]
[zipcode=]충북 충주시 가금면 루암리  50538 ]
[zipcode=]충북 충주시 가금면 봉황리  50539 ]
[zipcode=]충북 충주시 가금면 용전리  50540 ]
[zipcode=]충북 충주시 가금면 장천리  50541 ]
[zipcode=]충북 충주시 가금면 창동리  50542 ]
[zipcode=]충북 충주시 가금면 탑평리  50543 ]
[zipcode=]충북 충주시 가금면 하구암리  50544 ]
[zipcode=]충북 충주시 가금면  50545 ]
[zipcode=]충북 충주시 금가면 가곡리  50546 ]
[zipcode=]충북 충주시 금가면 도촌리  50547 ]
[zipcode=]충북 충주시 금가면 두담리  50548 ]
[zipcode=]충북 충주시 금가면 매하리 사서함 383 50549 ]
[zipcode=]충북 충주시 금가면 매하리  50550 ]
[zipcode=]충북 충주시 금가면 문산리  50551 ]
[zipcode=]충북 충주시 금가면 사암리  50552 ]
[zipcode=]충북 충주시 금가면 오석리  50553 ]
[zipcode=]충북 충주시 금가면 원포리  50554 ]
[zipcode=]충북 충주시 금가면 월상리  50555 ]
[zipcode=]충북 충주시 금가면 유송리  50556 ]
[zipcode=]충북 충주시 금가면 잠병리  50557 ]
[zipcode=]충북 충주시 금가면 하담리  50558 ]
[zipcode=]충북 충주시 금가면  50559 ]
[zipcode=]충북 충주시 노은면 가신1리  50560 ]
[zipcode=]충북 충주시 노은면 가신2리  50561 ]
[zipcode=]충북 충주시 노은면 가신3리  50562 ]
[zipcode=]충북 충주시 노은면 가신리  50563 ]
[zipcode=]충북 충주시 노은면 대덕리  50564 ]
[zipcode=]충북 충주시 노은면 문성1리  50565 ]
[zipcode=]충북 충주시 노은면 문성2리  50566 ]
[zipcode=]충북 충주시 노은면 문성3리  50567 ]
[zipcode=]충북 충주시 노은면 문성리  50568 ]
[zipcode=]충북 충주시 노은면 법동리  50569 ]
[zipcode=]충북 충주시 노은면 수룡리  50570 ]
[zipcode=]충북 충주시 노은면 신효리  50571 ]
[zipcode=]충북 충주시 노은면 안락리  50572 ]
[zipcode=]충북 충주시 노은면 연하리  50573 ]
[zipcode=]충북 충주시 노은면  50574 ]
[zipcode=]충북 충주시 대소원면 검단리 한국교통대학교  50575 ]
[zipcode=]충북 충주시 대소원면 검단리  50576 ]
[zipcode=]충북 충주시 대소원면 금곡리  50577 ]
[zipcode=]충북 충주시 대소원면 대소리  50578 ]
[zipcode=]충북 충주시 대소원면 두정리  50579 ]
[zipcode=]충북 충주시 대소원면 만정리  50580 ]
[zipcode=]충북 충주시 대소원면 매현리  50581 ]
[zipcode=]충북 충주시 대소원면 문주리  50582 ]
[zipcode=]충북 충주시 대소원면 본리  50583 ]
[zipcode=]충북 충주시 대소원면 영평리  50584 ]
[zipcode=]충북 충주시 대소원면 완오리  50585 ]
[zipcode=]충북 충주시 대소원면 장성리  50586 ]
[zipcode=]충북 충주시 대소원면 탄용리  50587 ]
[zipcode=]충북 충주시 대소원면  50588 ]
[zipcode=]충북 충주시 동량면 대전리  50589 ]
[zipcode=]충북 충주시 동량면 서운리  50590 ]
[zipcode=]충북 충주시 동량면 손동리  50591 ]
[zipcode=]충북 충주시 동량면 용교리  50592 ]
[zipcode=]충북 충주시 동량면 조동리  50593 ]
[zipcode=]충북 충주시 동량면 지동리  50594 ]
[zipcode=]충북 충주시 동량면 하천리  50595 ]
[zipcode=]충북 충주시 동량면 화암리  50596 ]
[zipcode=]충북 충주시 동량면  50597 ]
[zipcode=]충북 충주시 산척면 명서리  50598 ]
[zipcode=]충북 충주시 산척면 석천리  50599 ]
[zipcode=]충북 충주시 산척면 송강리  50600 ]
[zipcode=]충북 충주시 산척면 영덕리  50601 ]
[zipcode=]충북 충주시 산척면  50602 ]
[zipcode=]충북 충주시 살미면 공이리  50603 ]
[zipcode=]충북 충주시 살미면 내사리  50604 ]
[zipcode=]충북 충주시 살미면 문강리  50605 ]
[zipcode=]충북 충주시 살미면 설운리  50606 ]
[zipcode=]충북 충주시 살미면 세성1리  50607 ]
[zipcode=]충북 충주시 살미면 세성2리  50608 ]
[zipcode=]충북 충주시 살미면 세성3리  50609 ]
[zipcode=]충북 충주시 살미면 세성리  50610 ]
[zipcode=]충북 충주시 살미면 신당리  50611 ]
[zipcode=]충북 충주시 살미면 신매리  50612 ]
[zipcode=]충북 충주시 살미면 용천리  50613 ]
[zipcode=]충북 충주시 살미면 재오개리  50614 ]
[zipcode=]충북 충주시 살미면 토계리  50615 ]
[zipcode=]충북 충주시 살미면 향산리  50616 ]
[zipcode=]충북 충주시 살미면  50617 ]
[zipcode=]충북 충주시 소태면 구룡리  50618 ]
[zipcode=]충북 충주시 소태면 덕은리  50619 ]
[zipcode=]충북 충주시 소태면 동막리  50620 ]
[zipcode=]충북 충주시 소태면 복탄리  50621 ]
