[zipcode=]대전 대덕구 갈전동  17457 ]
[zipcode=]대전 서구 둔산2동 대전지방노동청  17912 ]
[zipcode=]대전 서구 둔산2동 둥지아파트  17913 ]
[zipcode=]대전 서구 둔산2동 삼성전자빌딩  17914 ]
[zipcode=]대전 서구 둔산2동 샘머리아파트  17915 ]
[zipcode=]대전 서구 둔산2동 서구청  17916 ]
[zipcode=]대전 서구 둔산2동 서대전세무서  17917 ]
[zipcode=]대전 서구 둔산2동 수정타운아파트  17918 ]
[zipcode=]대전 서구 둔산2동 신용협동조합중앙회  17919 ]
[zipcode=]대전 서구 둔산2동 은초롱아파트  17920 ]
[zipcode=]대전 서구 둔산2동 은하수아파트  17921 ]
[zipcode=]대전 서구 둔산2동 을지대학병원  17922 ]
[zipcode=]대전 서구 둔산2동 정부대전청사  17923 ]
[zipcode=]대전 서구 둔산2동 파랑새아파트  17924 ]
[zipcode=]대전 서구 둔산2동 향촌아파트  17925 ]
[zipcode=]대전 서구 둔산2동 1∼906 17926 ]
[zipcode=]대전 서구 둔산2동 907∼912 17927 ]
[zipcode=]대전 서구 둔산2동 913∼1031 17928 ]
[zipcode=]대전 서구 둔산2동 1032∼1122 17929 ]
[zipcode=]대전 서구 둔산2동 1123∼1267 17930 ]
[zipcode=]대전 서구 둔산2동 1268∼1379 17931 ]
[zipcode=]대전 서구 둔산2동  17932 ]
[zipcode=]대전 서구 둔산3동 가람아파트 (1∼16동) 17933 ]
[zipcode=]대전 서구 둔산3동 국화아파트  17934 ]
[zipcode=]대전 서구 둔산3동 보라아파트 (101∼205동) 17935 ]
[zipcode=]대전 서구 둔산3동 세이브존  17936 ]
[zipcode=]대전 서구 둔산3동 청솔아파트 (1∼10동) 17937 ]
[zipcode=]대전 서구 둔산3동 1805∼2169 17938 ]
[zipcode=]대전 서구 둔산3동  17939 ]
[zipcode=]대전 서구 둔산동  17940 ]
[zipcode=]대전 서구 만년동 강변아파트  17941 ]
[zipcode=]대전 서구 만년동 상록수아파트  17942 ]
[zipcode=]대전 서구 만년동 상아아파트  17943 ]
[zipcode=]대전 서구 만년동 초원아파트  17944 ]
[zipcode=]대전 서구 만년동 한국방송공사대전방송총국  17945 ]
[zipcode=]대전 서구 만년동 1∼2 17946 ]
[zipcode=]대전 서구 만년동 3∼500 17947 ]
[zipcode=]대전 서구 만년동  17948 ]
[zipcode=]대전 서구 매노동  17949 ]
[zipcode=]대전 서구 변동 1∼30 17950 ]
[zipcode=]대전 서구 변동 31∼40 17951 ]
[zipcode=]대전 서구 변동 41∼70 17952 ]
[zipcode=]대전 서구 변동 71∼500 17953 ]
[zipcode=]대전 서구 변동  17954 ]
[zipcode=]대전 서구 복수동 계룡아파트 (1∼8동) 17955 ]
[zipcode=]대전 서구 복수동 대전서부경찰서  17956 ]
[zipcode=]대전 서구 복수동 삼익목화아파트  17957 ]
[zipcode=]대전 서구 복수동 오량마을마루미아파트 (101∼109동) 17958 ]
[zipcode=]대전 서구 복수동 초록마을1단지 (101∼111동) 17959 ]
[zipcode=]대전 서구 복수동 초록마을2단지 (201∼211동) 17960 ]
[zipcode=]대전 서구 복수동 초록마을3단지 (301∼303동) 17961 ]
[zipcode=]대전 서구 복수동 초록마을3단지 (304∼309동) 17962 ]
[zipcode=]대전 서구 복수동 초록마을5단지 (501∼512동) 17963 ]
[zipcode=]대전 서구 복수동 혜천대학  17964 ]
[zipcode=]대전 서구 복수동 1∼279 17965 ]
[zipcode=]대전 서구 복수동 280∼399 17966 ]
[zipcode=]대전 서구 복수동 400∼999 17967 ]
[zipcode=]대전 서구 복수동  17968 ]
[zipcode=]대전 서구 봉곡동  17969 ]
[zipcode=]대전 서구 산직동  17970 ]
[zipcode=]대전 서구 오동  17971 ]
[zipcode=]대전 서구 용문동 덕일한마음아파트  17972 ]
[zipcode=]대전 서구 용문동 서우아파트  17973 ]
[zipcode=]대전 서구 용문동 1∼249 17974 ]
[zipcode=]대전 서구 용문동 250∼600 17975 ]
[zipcode=]대전 서구 용문동  17976 ]
[zipcode=]대전 서구 용촌동  17977 ]
[zipcode=]대전 서구 우명동  17978 ]
[zipcode=]대전 서구 원정동  17979 ]
[zipcode=]대전 서구 월평1동 계룡건설빌딩  17980 ]
[zipcode=]대전 서구 월평1동 월평타운아파트  17981 ]
[zipcode=]대전 서구 월평1동 1∼217 17982 ]
[zipcode=]대전 서구 월평1동 314∼1499 17983 ]
[zipcode=]대전 서구 월평1동 1524∼1636 17984 ]
[zipcode=]대전 서구 월평1동  17985 ]
[zipcode=]대전 서구 월평2동 무궁화아파트  17986 ]
[zipcode=]대전 서구 월평2동 무지개아파트  17987 ]
[zipcode=]대전 서구 월평2동 백합아파트  17988 ]
[zipcode=]대전 서구 월평2동 샛별아파트  17989 ]
[zipcode=]대전 서구 월평2동 주공아파트  17990 ]
[zipcode=]대전 서구 월평2동 한아름아파트  17991 ]
[zipcode=]대전 서구 월평2동 218∼300 17992 ]
[zipcode=]대전 서구 월평2동 1504∼1513 17993 ]
[zipcode=]대전 서구 월평2동  17994 ]
[zipcode=]대전 서구 월평3동 누리아파트  17995 ]
[zipcode=]대전 서구 월평3동 다모아아파트  17996 ]
[zipcode=]대전 서구 월평3동 전원아파트  17997 ]
[zipcode=]대전 서구 월평3동 진달래아파트  17998 ]
[zipcode=]대전 서구 월평3동 하나로아파트  17999 ]
[zipcode=]대전 서구 월평3동 황실타운아파트  18000 ]
[zipcode=]대전 서구 월평3동 301∼310 18001 ]
[zipcode=]대전 서구 월평3동 311∼312 18002 ]
[zipcode=]대전 서구 월평3동 1514∼1520 18003 ]
[zipcode=]대전 서구 월평3동  18004 ]
[zipcode=]대전 서구 월평동  18005 ]
[zipcode=]대전 서구 장안동  18006 ]
[zipcode=]대전 서구 정림동 강변들보람아파트  18007 ]
[zipcode=]대전 서구 정림동 금성백조아파트  18008 ]
[zipcode=]대전 서구 정림동 늘푸른아파트  18009 ]
[zipcode=]대전 서구 정림동 백목련아파트  18010 ]
[zipcode=]대전 서구 정림동 삼정아파트  18011 ]
[zipcode=]대전 서구 정림동 우성아파트  18012 ]
[zipcode=]대전 서구 정림동 1∼199 18013 ]
[zipcode=]대전 서구 정림동 200∼638 18014 ]
[zipcode=]대전 서구 정림동 639∼800 18015 ]
[zipcode=]대전 서구 정림동  18016 ]
[zipcode=]대전 서구 탄방동 개나리아파트  18017 ]
[zipcode=]대전 서구 탄방동 공작한양아파트 (1∼13동) 18018 ]
[zipcode=]대전 서구 탄방동 국민연금공단대전지사  18019 ]
[zipcode=]대전 서구 탄방동 산호아파트  18020 ]
[zipcode=]대전 서구 탄방동 주공아파트  18021 ]
[zipcode=]대전 서구 탄방동 한가람아파트  18022 ]
[zipcode=]대전 서구 탄방동 한국교직원공제회대전회관  18023 ]
[zipcode=]대전 서구 탄방동 한우리아파트  18024 ]
[zipcode=]대전 서구 탄방동 1∼502 18025 ]
[zipcode=]대전 서구 탄방동 503∼625 18026 ]
[zipcode=]대전 서구 탄방동 626∼835 18027 ]
[zipcode=]대전 서구 탄방동 836∼1030 18028 ]
[zipcode=]대전 서구 탄방동 1031∼2000 18029 ]
[zipcode=]대전 서구 탄방동  18030 ]
[zipcode=]대전 서구 평촌동  18031 ]
[zipcode=]대전 서구 흑석동  18032 ]
[zipcode=]대전 서구 대전둔산우체국사서함  18033 ]
[zipcode=]대전 유성구 가정동 국제지식재산연수원  18034 ]
[zipcode=]대전 유성구 가정동 한국연구재단  18035 ]
[zipcode=]대전 유성구 가정동 한국전자통신연구원  18036 ]
[zipcode=]대전 유성구 가정동 한국조폐공사  18037 ]
[zipcode=]대전 유성구 가정동  18038 ]
[zipcode=]대전 유성구 갑동 국립현충원  18039 ]
[zipcode=]대전 유성구 갑동  18040 ]
[zipcode=]대전 유성구 계산동  18041 ]
[zipcode=]대전 유성구 관평동 대덕테크노밸리7단지아파트 (701∼711동) 18042 ]
[zipcode=]대전 유성구 관평동 대덕테크노밸리8단지아파트 (801∼810동) 18043 ]
[zipcode=]대전 유성구 관평동 대덕테크노밸리10단지아파트 (1001∼1016동) 18044 ]
[zipcode=]대전 유성구 관평동 대덕테크노밸리9단지아파트 (901∼910동) 18045 ]
[zipcode=]대전 유성구 관평동 대우푸르지오 (201∼213동) 18046 ]
[zipcode=]대전 유성구 관평동 신동아파밀리에 (501∼516동) 18047 ]
[zipcode=]대전 유성구 관평동 쌍용스윗닷홈 (401∼410동) 18048 ]
[zipcode=]대전 유성구 관평동 운암네오미아 (601∼613동) 18049 ]
[zipcode=]대전 유성구 관평동 중앙하이츠빌 (301∼311동) 18050 ]
[zipcode=]대전 유성구 관평동 한화꿈에그린 (101∼113동) 18051 ]
[zipcode=]대전 유성구 관평동  18052 ]
[zipcode=]대전 유성구 교촌동 미메이드아파트 (201∼212동) 18053 ]
[zipcode=]대전 유성구 교촌동  18054 ]
[zipcode=]대전 유성구 구룡동  18055 ]
[zipcode=]대전 유성구 구성동 국립중앙과학관  18056 ]
[zipcode=]대전 유성구 구성동 금강유역환경청  18057 ]
[zipcode=]대전 유성구 구성동 한국과학기술원  18058 ]
[zipcode=]대전 유성구 구성동  18059 ]
[zipcode=]대전 유성구 구암동 1∼598 18060 ]
[zipcode=]대전 유성구 구암동 599∼800 18061 ]
[zipcode=]대전 유성구 구암동  18062 ]
[zipcode=]대전 유성구 궁동 충남대학교  18063 ]
[zipcode=]대전 유성구 궁동  18064 ]
[zipcode=]대전 유성구 금고동  18065 ]
[zipcode=]대전 유성구 금탄동  18066 ]
[zipcode=]대전 유성구 노은동 열매마을아파트 (801∼1112동) 18067 ]
[zipcode=]대전 유성구 노은동  18068 ]
[zipcode=]대전 유성구 대동  18069 ]
[zipcode=]대전 유성구 대정동  18070 ]
[zipcode=]대전 유성구 덕명동 운암네오미아아파트 (101∼108동) 18071 ]
[zipcode=]대전 유성구 덕명동 하우스토리네오미아아파트 (101∼108동) 18072 ]
[zipcode=]대전 유성구 덕명동 한밭대학교  18073 ]
[zipcode=]대전 유성구 덕명동  18074 ]
[zipcode=]대전 유성구 덕진동  18075 ]
[zipcode=]대전 유성구 도룡동 (주)대전방송  18076 ]
[zipcode=]대전 유성구 도룡동 대전문화방송국  18077 ]
[zipcode=]대전 유성구 도룡동 대전엑스포과학공원  18078 ]
[zipcode=]대전 유성구 도룡동 스마트시티주상복합아파트 (201∼505동) 18079 ]
[zipcode=]대전 유성구 도룡동  18080 ]
[zipcode=]대전 유성구 둔곡동  18081 ]
[zipcode=]대전 유성구 문지동 KAIST문지캠퍼스  18082 ]
[zipcode=]대전 유성구 문지동 LG화학기술연구원  18083 ]
[zipcode=]대전 유성구 문지동 동부기술원  18084 ]
[zipcode=]대전 유성구 문지동 삼성종합화학연구소  18085 ]
[zipcode=]대전 유성구 문지동 한전전력연구원  18086 ]
[zipcode=]대전 유성구 문지동  18087 ]
[zipcode=]대전 유성구 반석동 반석마을아파트 (401∼408동) 18088 ]
[zipcode=]대전 유성구 반석동 반석마을아파트 (501∼509동) 18089 ]
[zipcode=]대전 유성구 반석동 반석마을아파트 (601∼808동) 18090 ]
[zipcode=]대전 유성구 반석동  18091 ]
[zipcode=]대전 유성구 방동  18092 ]
[zipcode=]대전 유성구 방현동  18093 ]
[zipcode=]대전 유성구 복용동  18094 ]
[zipcode=]대전 유성구 봉명동 대전유성우체국  18095 ]
[zipcode=]대전 유성구 봉명동 도안마을1단지아파트 (101∼114동) 18096 ]
[zipcode=]대전 유성구 봉명동 도안휴먼시아6단지센트럴시티아파트 (601∼611동) 18097 ]
[zipcode=]대전 유성구 봉명동 동아벤처타워  18098 ]
[zipcode=]대전 유성구 봉명동 홍인오피스텔  18099 ]
[zipcode=]대전 유성구 봉명동  18100 ]
[zipcode=]대전 유성구 봉산동 봉산휴먼시아2단지아파트 (201∼208동) 18101 ]
[zipcode=]대전 유성구 봉산동 하늘바람휴먼시아아파트 (101∼113동) 18102 ]
[zipcode=]대전 유성구 봉산동  18103 ]
[zipcode=]대전 유성구 상대동 도안휴먼시아4단지아파트 (401∼409동) 18104 ]
[zipcode=]대전 유성구 상대동 트리풀시티아파트 (901∼920동) 18105 ]
[zipcode=]대전 유성구 상대동 한라비발디아파트 (301∼311동) 18106 ]
[zipcode=]대전 유성구 상대동  18107 ]
[zipcode=]대전 유성구 성북동  18108 ]
[zipcode=]대전 유성구 세동  18109 ]
[zipcode=]대전 유성구 송강동 송강그린아파트  18110 ]
[zipcode=]대전 유성구 송강동 송강마을1단지 (101∼205동) 18111 ]
[zipcode=]대전 유성구 송강동 송강마을2단지 (101∼205동) 18112 ]
[zipcode=]대전 유성구 송강동 송강청솔아파트  18113 ]
[zipcode=]대전 유성구 송강동 송강한솔아파트  18114 ]
[zipcode=]대전 유성구 송강동 한마을아파트  18115 ]
[zipcode=]대전 유성구 송강동 1∼176 18116 ]
[zipcode=]대전 유성구 송강동 177∼558 18117 ]
[zipcode=]대전 유성구 송강동  18118 ]
[zipcode=]대전 유성구 송정동  18119 ]
[zipcode=]대전 유성구 수남동  18120 ]
[zipcode=]대전 유성구 신동  18121 ]
[zipcode=]대전 유성구 신봉동  18122 ]
[zipcode=]대전 유성구 신성동 대림두레아파트  18123 ]
[zipcode=]대전 유성구 신성동 럭키하나아파트  18124 ]
[zipcode=]대전 유성구 신성동 삼성한울아파트  18125 ]
[zipcode=]대전 유성구 신성동 1∼151 18126 ]
[zipcode=]대전 유성구 신성동 152∼500 18127 ]
[zipcode=]대전 유성구 신성동  18128 ]
[zipcode=]대전 유성구 안산동  18129 ]
[zipcode=]대전 유성구 어은동 유성구청  18130 ]
[zipcode=]대전 유성구 어은동 한빛아파트  18131 ]
[zipcode=]대전 유성구 어은동 1∼99 18132 ]
[zipcode=]대전 유성구 어은동 100∼500 18133 ]
[zipcode=]대전 유성구 어은동  18134 ]
[zipcode=]대전 유성구 외삼동  18135 ]
[zipcode=]대전 유성구 용계동  18136 ]
[zipcode=]대전 유성구 용산동 대덕테크노밸리11단지아파트 (1101∼1108동) 18137 ]
[zipcode=]대전 유성구 용산동 대덕테크노밸리12단지아파트 (1201∼1211동) 18138 ]
[zipcode=]대전 유성구 용산동 대덕테크노밸리푸르지오하임 (101∼208동) 18139 ]
[zipcode=]대전 유성구 용산동  18140 ]
[zipcode=]대전 유성구 원내동 샘물타운아파트  18141 ]
[zipcode=]대전 유성구 원내동 진잠타운아파트  18142 ]
[zipcode=]대전 유성구 원내동 한아름아파트  18143 ]
[zipcode=]대전 유성구 원내동 1∼356 18144 ]
[zipcode=]대전 유성구 원내동 357∼843 18145 ]
[zipcode=]대전 유성구 원내동 산50∼60 18146 ]
[zipcode=]대전 유성구 원내동  18147 ]
[zipcode=]대전 유성구 원신흥동 도안휴먼시아10단지아파트 (1001∼1011동) 18148 ]
[zipcode=]대전 유성구 원신흥동 어울림하트아파트 (1201∼1212동) 18149 ]
[zipcode=]대전 유성구 원신흥동  18150 ]
[zipcode=]대전 유성구 원촌동 (주)SK대덕기술원  18151 ]
[zipcode=]대전 유성구 원촌동  18152 ]
[zipcode=]대전 유성구 자운동  18153 ]
[zipcode=]대전 유성구 장동 대덕대학  18154 ]
[zipcode=]대전 유성구 장동 한국타이어  18155 ]
[zipcode=]대전 유성구 장동 호남석유  18156 ]
[zipcode=]대전 유성구 장동  18157 ]
[zipcode=]대전 유성구 장대동  18158 ]
[zipcode=]대전 유성구 전민동 LH토지주택연구원  18159 ]
[zipcode=]대전 유성구 전민동 삼성푸른아파트  18160 ]
[zipcode=]대전 유성구 전민동 세종아파트  18161 ]
[zipcode=]대전 유성구 전민동 수자원연구원  18162 ]
[zipcode=]대전 유성구 전민동 엑스포아파트 (101∼309동) 18163 ]
[zipcode=]대전 유성구 전민동 엑스포아파트 (401∼510동) 18164 ]
[zipcode=]대전 유성구 전민동 청구나래아파트  18165 ]
[zipcode=]대전 유성구 전민동 1∼459 18166 ]
[zipcode=]대전 유성구 전민동 460∼463 18167 ]
[zipcode=]대전 유성구 전민동 464∼906 18168 ]
[zipcode=]대전 유성구 전민동  18169 ]
[zipcode=]대전 유성구 죽동  18170 ]
[zipcode=]대전 유성구 지족동 대전극동방송국  18171 ]
[zipcode=]대전 유성구 지족동 반석마을아파트 (101∼211동) 18172 ]
[zipcode=]대전 유성구 지족동 반석마을아파트 (301∼311동) 18173 ]
[zipcode=]대전 유성구 지족동 열매마을아파트 (101∼308동) 18174 ]
[zipcode=]대전 유성구 지족동 열매마을아파트 (401∼711동) 18175 ]
[zipcode=]대전 유성구 지족동  18176 ]
[zipcode=]대전 유성구 추목동 사서함 78 18177 ]
[zipcode=]대전 유성구 추목동  18178 ]
[zipcode=]대전 유성구 탑립동  18179 ]
[zipcode=]대전 유성구 하기동 송림마을아파트 (101∼605동) 18180 ]
[zipcode=]대전 유성구 하기동  18181 ]
[zipcode=]대전 유성구 학하동  18182 ]
[zipcode=]대전 유성구 화암동 삼양그룹연구소  18183 ]
[zipcode=]대전 유성구 화암동 한국통신선로기술연구소  18184 ]
[zipcode=]대전 유성구 화암동  18185 ]
[zipcode=]대전 유성구 대전유성우체국사서함  18186 ]
[zipcode=]대전 중구 구완동  18187 ]
[zipcode=]대전 중구 금동  18188 ]
[zipcode=]대전 중구 대사동 농협충남지역본부  18189 ]
[zipcode=]대전 중구 대사동 대전미래병원  18190 ]
[zipcode=]대전 중구 대사동 충남대학교병원  18191 ]
[zipcode=]대전 중구 대사동 1∼83 18192 ]
[zipcode=]대전 중구 대사동 84∼96 18193 ]
[zipcode=]대전 중구 대사동 97∼154 18194 ]
[zipcode=]대전 중구 대사동 155∼800 18195 ]
[zipcode=]대전 중구 대사동  18196 ]
[zipcode=]대전 중구 대흥동 KT대전지사  18197 ]
[zipcode=]대전 중구 대흥동 대림빌딩  18198 ]
[zipcode=]대전 중구 대흥동 대전대한방병원  18199 ]
[zipcode=]대전 중구 대흥동 대전중부경찰서  18200 ]
[zipcode=]대전 중구 대흥동 성모병원  18201 ]
[zipcode=]대전 중구 대흥동 중구청  18202 ]
[zipcode=]대전 중구 대흥동 지하상가 (B나∼D나동) 18203 ]
[zipcode=]대전 중구 대흥동 현대아파트  18204 ]
[zipcode=]대전 중구 대흥동 1∼165 18205 ]
[zipcode=]대전 중구 대흥동 166∼188 18206 ]
[zipcode=]대전 중구 대흥동 189∼234 18207 ]
[zipcode=]대전 중구 대흥동 235∼313 18208 ]
[zipcode=]대전 중구 대흥동 314∼379 18209 ]
[zipcode=]대전 중구 대흥동 380∼408 18210 ]
[zipcode=]대전 중구 대흥동 409∼426 18211 ]
[zipcode=]대전 중구 대흥동 427∼445 18212 ]
[zipcode=]대전 중구 대흥동 446∼499 18213 ]
[zipcode=]대전 중구 대흥동 500∼518 18214 ]
[zipcode=]대전 중구 대흥동 519∼1000 18215 ]
[zipcode=]대전 중구 대흥동  18216 ]
[zipcode=]대전 중구 목동 금호한사랑아파트  18217 ]
[zipcode=]대전 중구 목동 더샵아파트 (101∼109동) 18218 ]
[zipcode=]대전 중구 목동 목양마을아파트  18219 ]
[zipcode=]대전 중구 목동 선병원  18220 ]
[zipcode=]대전 중구 목동 올리브힐아파트 (101∼108동) 18221 ]
[zipcode=]대전 중구 목동 1∼5 18222 ]
[zipcode=]대전 중구 목동 6∼125 18223 ]
[zipcode=]대전 중구 목동 126∼300 18224 ]
[zipcode=]대전 중구 목동  18225 ]
[zipcode=]대전 중구 목달동  18226 ]
[zipcode=]대전 중구 무수동  18227 ]
[zipcode=]대전 중구 문창동 1∼105 18228 ]
[zipcode=]대전 중구 문창동 106∼109 18229 ]
[zipcode=]대전 중구 문창동 110∼112 18230 ]
[zipcode=]대전 중구 문창동 113∼1000 18231 ]
[zipcode=]대전 중구 문창동  18232 ]
[zipcode=]대전 중구 문화1동 KT대전망운용국  18233 ]
[zipcode=]대전 중구 문화1동 기독교연합봉사회관  18234 ]
[zipcode=]대전 중구 문화1동 대전충남지방병무청  18235 ]
[zipcode=]대전 중구 문화1동 문화마을금호어울림아파트 (101∼204동) 18236 ]
[zipcode=]대전 중구 문화1동 삼익아파트  18237 ]
[zipcode=]대전 중구 문화1동 상아아파트  18238 ]
[zipcode=]대전 중구 문화1동 서대전우체국  18239 ]
[zipcode=]대전 중구 문화1동 세이백화점  18240 ]
[zipcode=]대전 중구 문화1동 센트럴파크1단지아파트 (101∼106동) 18241 ]
[zipcode=]대전 중구 문화1동 센트럴파크2단지아파트 (201∼213동) 18242 ]
[zipcode=]대전 중구 문화1동 센트럴파크3단지아파트 (301∼310동) 18243 ]
[zipcode=]대전 중구 문화1동 충남대학교의과대학  18244 ]
[zipcode=]대전 중구 문화1동 충청남도교육청  18245 ]
[zipcode=]대전 중구 문화1동 하우스토리아파트 (101∼202동) 18246 ]
[zipcode=]대전 중구 문화1동 한국산업인력공단  18247 ]
[zipcode=]대전 중구 문화1동 한밭도서관  18248 ]
[zipcode=]대전 중구 문화1동 한밭우성아파트  18249 ]
[zipcode=]대전 중구 문화1동 1-(1∼100) 18250 ]
[zipcode=]대전 중구 문화1동 1-(101∼203) 18251 ]
[zipcode=]대전 중구 문화1동 2∼283 18252 ]
[zipcode=]대전 중구 문화1동 284∼387 18253 ]
[zipcode=]대전 중구 문화1동  18254 ]
[zipcode=]대전 중구 문화2동 삼성푸른아파트  18255 ]
[zipcode=]대전 중구 문화2동 주공1차아파트 (101∼108동) 18256 ]
[zipcode=]대전 중구 문화2동 주공2차아파트 (201∼209동) 18257 ]
[zipcode=]대전 중구 문화2동 주공3차아파트 (301∼308동) 18258 ]
[zipcode=]대전 중구 문화2동 388∼554 18259 ]
[zipcode=]대전 중구 문화2동 555∼900 18260 ]
[zipcode=]대전 중구 문화2동  18261 ]
[zipcode=]대전 중구 문화동  18262 ]
[zipcode=]대전 중구 부사동 SK텔레콤충남지사  18263 ]
[zipcode=]대전 중구 부사동 1∼219 18264 ]
[zipcode=]대전 중구 부사동 220∼237 18265 ]
[zipcode=]대전 중구 부사동 238∼380 18266 ]
[zipcode=]대전 중구 부사동 381∼600 18267 ]
[zipcode=]대전 중구 부사동  18268 ]
[zipcode=]대전 중구 사정동 우남스타원아파트 (101∼112동) 18269 ]
[zipcode=]대전 중구 사정동 1∼300 18270 ]
[zipcode=]대전 중구 사정동  18271 ]
[zipcode=]대전 중구 산성동 우성아파트  18272 ]
[zipcode=]대전 중구 산성동 한밭가든아파트  18273 ]
[zipcode=]대전 중구 산성동 1∼115 18274 ]
[zipcode=]대전 중구 산성동 116∼132 18275 ]
[zipcode=]대전 중구 산성동 133∼157 18276 ]
[zipcode=]대전 중구 산성동 158∼272 18277 ]
[zipcode=]대전 중구 산성동 273∼500 18278 ]
[zipcode=]대전 중구 산성동  18279 ]
[zipcode=]대전 중구 석교동 1∼65 18280 ]
[zipcode=]대전 중구 석교동 66∼96 18281 ]
[zipcode=]대전 중구 석교동 97∼164 18282 ]
[zipcode=]대전 중구 석교동 165∼248 18283 ]
[zipcode=]대전 중구 석교동 249∼600 18284 ]
[zipcode=]대전 중구 석교동  18285 ]
[zipcode=]대전 중구 선화동 갤러리아백화점  18286 ]
[zipcode=]대전 중구 선화동 교보생명빌딩  18287 ]
[zipcode=]대전 중구 선화동 대전광역시동부교육지원청  18288 ]
[zipcode=]대전 중구 선화동 대전세무서  18289 ]
[zipcode=]대전 중구 선화동 대한적십자사대전충남지사  18290 ]
[zipcode=]대전 중구 선화동 동양오리온투자신탁  18291 ]
[zipcode=]대전 중구 선화동 삼성생명빌딩  18292 ]
[zipcode=]대전 중구 선화동 센트럴뷰아파트 (101∼108동) 18293 ]
[zipcode=]대전 중구 선화동 유원오피스텔  18294 ]
[zipcode=]대전 중구 선화동 지하상가 (B가∼C가동) 18295 ]
[zipcode=]대전 중구 선화동 충남지방경찰청  18296 ]
[zipcode=]대전 중구 선화동 충청남도청  18297 ]
[zipcode=]대전 중구 선화동 1∼66 18298 ]
[zipcode=]대전 중구 선화동 67∼120 18299 ]
[zipcode=]대전 중구 선화동 121∼159 18300 ]
[zipcode=]대전 중구 선화동 160∼225 18301 ]
[zipcode=]대전 중구 선화동 226∼286 18302 ]
[zipcode=]대전 중구 선화동 287∼337 18303 ]
[zipcode=]대전 중구 선화동 338∼353 18304 ]
[zipcode=]대전 중구 선화동 354∼600 18305 ]
[zipcode=]대전 중구 선화동  18306 ]
[zipcode=]대전 중구 안영동  18307 ]
[zipcode=]대전 중구 어남동  18308 ]
[zipcode=]대전 중구 오류동 도로교통공단대전충남지부  18309 ]
[zipcode=]대전 중구 오류동 동아생명빌딩  18310 ]
[zipcode=]대전 중구 오류동 사학연금회관  18311 ]
[zipcode=]대전 중구 오류동 삼성아파트 (1∼10동) 18312 ]
[zipcode=]대전 중구 오류동 삼성아파트 (11∼23동) 18313 ]
[zipcode=]대전 중구 오류동 삼성아파트 (24∼31동) 18314 ]
[zipcode=]대전 중구 오류동 새마을금고연합회  18315 ]
[zipcode=]대전 중구 오류동 센트리아오피스텔  18316 ]
[zipcode=]대전 중구 오류동 제일가구프라자  18317 ]
[zipcode=]대전 중구 오류동 충청하나은행  18318 ]
[zipcode=]대전 중구 오류동 1∼128 18319 ]
[zipcode=]대전 중구 오류동 129∼174 18320 ]
[zipcode=]대전 중구 오류동 175∼183 18321 ]
[zipcode=]대전 중구 오류동 184∼187 18322 ]
[zipcode=]대전 중구 오류동 188∼400 18323 ]
[zipcode=]대전 중구 오류동  18324 ]
[zipcode=]대전 중구 옥계동  18325 ]
[zipcode=]대전 중구 용두동 동아일보빌딩  18326 ]
[zipcode=]대전 중구 용두동 동화빌딩  18327 ]
[zipcode=]대전 중구 용두동 미르마을아파트 (101∼115동) 18328 ]
[zipcode=]대전 중구 용두동 을지대학교대전캠퍼스  18329 ]
[zipcode=]대전 중구 용두동 1∼26 18330 ]
[zipcode=]대전 중구 용두동 27∼35 18331 ]
[zipcode=]대전 중구 용두동 36∼51 18332 ]
[zipcode=]대전 중구 용두동 52∼114 18333 ]
[zipcode=]대전 중구 용두동 115∼500 18334 ]
[zipcode=]대전 중구 용두동  18335 ]
[zipcode=]대전 중구 유천1동 249∼266 18336 ]
[zipcode=]대전 중구 유천1동 272∼306 18337 ]
[zipcode=]대전 중구 유천1동 307∼316 18338 ]
[zipcode=]대전 중구 유천1동 320∼327 18339 ]
[zipcode=]대전 중구 유천1동 328∼700 18340 ]
[zipcode=]대전 중구 유천1동  18341 ]
[zipcode=]대전 중구 유천2동 현대아파트  18342 ]
[zipcode=]대전 중구 유천2동 1∼186 18343 ]
[zipcode=]대전 중구 유천2동 187∼195 18344 ]
[zipcode=]대전 중구 유천2동 196∼209 18345 ]
[zipcode=]대전 중구 유천2동 210∼248 18346 ]
[zipcode=]대전 중구 유천2동 267∼271 18347 ]
[zipcode=]대전 중구 유천2동 317∼319 18348 ]
[zipcode=]대전 중구 유천2동  18349 ]
[zipcode=]대전 중구 유천동  18350 ]
[zipcode=]대전 중구 은행동 지하상가 (A가∼A나동) 18351 ]
[zipcode=]대전 중구 은행동 지하상가 (D가동) 18352 ]
[zipcode=]대전 중구 은행동 한솔빌딩  18353 ]
[zipcode=]대전 중구 은행동 1∼32 18354 ]
[zipcode=]대전 중구 은행동 33∼76 18355 ]
[zipcode=]대전 중구 은행동 77∼141 18356 ]
[zipcode=]대전 중구 은행동 142∼400 18357 ]
[zipcode=]대전 중구 은행동  18358 ]
[zipcode=]대전 중구 정생동  18359 ]
[zipcode=]대전 중구 중촌동 금호아파트  18360 ]
[zipcode=]대전 중구 중촌동 주공아파트1단지 (1∼15동) 18361 ]
[zipcode=]대전 중구 중촌동 주공아파트2단지 (201∼204동) 18362 ]
[zipcode=]대전 중구 중촌동 주공아파트3단지 (301∼308동) 18363 ]
[zipcode=]대전 중구 중촌동 현대아파트  18364 ]
