[zipcode=]경북 경산시 갑제동 한국조폐공사화폐본부  34522 ]
[zipcode=]경북 구미시 형곡2동 369∼379 35462 ]
[zipcode=]경북 구미시 형곡2동 380∼687 35463 ]
[zipcode=]경북 구미시 형곡2동 688∼830 35464 ]
[zipcode=]경북 구미시 형곡2동  35465 ]
[zipcode=]경북 구미시 형곡동  35466 ]
[zipcode=]경북 구미시 황상동 화진금봉타운아파트 (101∼602동) 35467 ]
[zipcode=]경북 구미시 황상동 황상1주공아파트 (101∼123동) 35468 ]
[zipcode=]경북 구미시 황상동 황상2주공아파트 (201∼220동) 35469 ]
[zipcode=]경북 구미시 황상동 황상3주공아파트 (301∼310동) 35470 ]
[zipcode=]경북 구미시 황상동 1∼489 35471 ]
[zipcode=]경북 구미시 황상동 490∼800 35472 ]
[zipcode=]경북 구미시 황상동  35473 ]
[zipcode=]경북 구미시 고아읍 관심리  35474 ]
[zipcode=]경북 구미시 고아읍 괴평리  35475 ]
[zipcode=]경북 구미시 고아읍 내예리  35476 ]
[zipcode=]경북 구미시 고아읍 다식리  35477 ]
[zipcode=]경북 구미시 고아읍 대망리  35478 ]
[zipcode=]경북 구미시 고아읍 문성리 구미문성경남아너스빌아파트 (101∼107동) 35479 ]
[zipcode=]경북 구미시 고아읍 문성리 1∼100 35480 ]
[zipcode=]경북 구미시 고아읍 문성리 101∼799 35481 ]
[zipcode=]경북 구미시 고아읍 문성리 800∼900 35482 ]
[zipcode=]경북 구미시 고아읍 봉한리  35483 ]
[zipcode=]경북 구미시 고아읍 송림리  35484 ]
[zipcode=]경북 구미시 고아읍 신촌리  35485 ]
[zipcode=]경북 구미시 고아읍 예강리  35486 ]
[zipcode=]경북 구미시 고아읍 오로리  35487 ]
[zipcode=]경북 구미시 고아읍 오로리 에덴아파트  35488 ]
[zipcode=]경북 구미시 고아읍 외예리  35489 ]
[zipcode=]경북 구미시 고아읍 원호리 1∼399 35490 ]
[zipcode=]경북 구미시 고아읍 원호리 400∼448 35491 ]
[zipcode=]경북 구미시 고아읍 원호리 449∼491 35492 ]
[zipcode=]경북 구미시 고아읍 원호리 구미원호푸르지오아파트 (101∼110동) 35493 ]
[zipcode=]경북 구미시 고아읍 원호리 원호대우아파트 (101∼108동) 35494 ]
[zipcode=]경북 구미시 고아읍 원호리 점보타운 (101∼108동) 35495 ]
[zipcode=]경북 구미시 고아읍 원호리 한누리타운2차아파트 (201∼208동) 35496 ]
[zipcode=]경북 구미시 고아읍 원호리 한누리타운3차아파트 (301∼305동) 35497 ]
[zipcode=]경북 구미시 고아읍 이례리  35498 ]
[zipcode=]경북 구미시 고아읍 파산리  35499 ]
[zipcode=]경북 구미시 고아읍 항곡리  35500 ]
[zipcode=]경북 구미시 고아읍 황산리  35501 ]
[zipcode=]경북 구미시 고아읍 횡산리  35502 ]
[zipcode=]경북 구미시 고아읍  35503 ]
[zipcode=]경북 구미시 선산읍 교리  35504 ]
[zipcode=]경북 구미시 선산읍 내고리  35505 ]
[zipcode=]경북 구미시 선산읍 노상리  35506 ]
[zipcode=]경북 구미시 선산읍 독동리  35507 ]
[zipcode=]경북 구미시 선산읍 동부리  35508 ]
[zipcode=]경북 구미시 선산읍 봉곡리  35509 ]
[zipcode=]경북 구미시 선산읍 봉남리  35510 ]
[zipcode=]경북 구미시 선산읍 북산리  35511 ]
[zipcode=]경북 구미시 선산읍 생곡리  35512 ]
[zipcode=]경북 구미시 선산읍 소재리  35513 ]
[zipcode=]경북 구미시 선산읍 습례리  35514 ]
[zipcode=]경북 구미시 선산읍 신기리  35515 ]
[zipcode=]경북 구미시 선산읍 완전리  35516 ]
[zipcode=]경북 구미시 선산읍 원리  35517 ]
[zipcode=]경북 구미시 선산읍 이문리  35518 ]
[zipcode=]경북 구미시 선산읍 죽장리  35519 ]
[zipcode=]경북 구미시 선산읍 포상리  35520 ]
[zipcode=]경북 구미시 선산읍 화조리  35521 ]
[zipcode=]경북 구미시 선산읍  35522 ]
[zipcode=]경북 구미시 도개면 가산리  35523 ]
[zipcode=]경북 구미시 도개면 궁기1리  35524 ]
[zipcode=]경북 구미시 도개면 궁기2리  35525 ]
[zipcode=]경북 구미시 도개면 궁기리  35526 ]
[zipcode=]경북 구미시 도개면 다곡리  35527 ]
[zipcode=]경북 구미시 도개면 도개리  35528 ]
[zipcode=]경북 구미시 도개면 동산리  35529 ]
[zipcode=]경북 구미시 도개면 신곡리  35530 ]
[zipcode=]경북 구미시 도개면 신림리  35531 ]
[zipcode=]경북 구미시 도개면 용산리  35532 ]
[zipcode=]경북 구미시 도개면 월림리  35533 ]
[zipcode=]경북 구미시 도개면  35534 ]
[zipcode=]경북 구미시 무을면 무등리  35535 ]
[zipcode=]경북 구미시 무을면 무수리  35536 ]
[zipcode=]경북 구미시 무을면 무이리  35537 ]
[zipcode=]경북 구미시 무을면 백자리  35538 ]
[zipcode=]경북 구미시 무을면 상송리  35539 ]
[zipcode=]경북 구미시 무을면 송삼리  35540 ]
[zipcode=]경북 구미시 무을면 안곡리  35541 ]
[zipcode=]경북 구미시 무을면 오가리  35542 ]
[zipcode=]경북 구미시 무을면 웅곡리  35543 ]
[zipcode=]경북 구미시 무을면 원리  35544 ]
[zipcode=]경북 구미시 무을면  35545 ]
[zipcode=]경북 구미시 산동면 도중리  35546 ]
[zipcode=]경북 구미시 산동면 동곡리  35547 ]
[zipcode=]경북 구미시 산동면 백현리  35548 ]
[zipcode=]경북 구미시 산동면 봉산리  35549 ]
[zipcode=]경북 구미시 산동면 성수리  35550 ]
[zipcode=]경북 구미시 산동면 송산리  35551 ]
[zipcode=]경북 구미시 산동면 신당리  35552 ]
[zipcode=]경북 구미시 산동면 인덕리 경운대학교  35553 ]
[zipcode=]경북 구미시 산동면 인덕리  35554 ]
[zipcode=]경북 구미시 산동면 임천리  35555 ]
[zipcode=]경북 구미시 산동면 적림리  35556 ]
[zipcode=]경북 구미시 산동면  35557 ]
[zipcode=]경북 구미시 옥성면 구봉리  35558 ]
[zipcode=]경북 구미시 옥성면 농소1리  35559 ]
[zipcode=]경북 구미시 옥성면 농소2리  35560 ]
[zipcode=]경북 구미시 옥성면 농소리  35561 ]
[zipcode=]경북 구미시 옥성면 대원리  35562 ]
[zipcode=]경북 구미시 옥성면 덕촌리  35563 ]
[zipcode=]경북 구미시 옥성면 산촌리  35564 ]
[zipcode=]경북 구미시 옥성면 옥관리  35565 ]
[zipcode=]경북 구미시 옥성면 주아리  35566 ]
[zipcode=]경북 구미시 옥성면 초곡리  35567 ]
[zipcode=]경북 구미시 옥성면 태봉1리  35568 ]
[zipcode=]경북 구미시 옥성면 태봉2리  35569 ]
[zipcode=]경북 구미시 옥성면 태봉리  35570 ]
[zipcode=]경북 구미시 옥성면  35571 ]
[zipcode=]경북 구미시 장천면 금산리  35572 ]
[zipcode=]경북 구미시 장천면 명곡리  35573 ]
[zipcode=]경북 구미시 장천면 묵어리  35574 ]
[zipcode=]경북 구미시 장천면 상림리  35575 ]
[zipcode=]경북 구미시 장천면 상장1리  35576 ]
[zipcode=]경북 구미시 장천면 상장2리  35577 ]
[zipcode=]경북 구미시 장천면 상장3리  35578 ]
[zipcode=]경북 구미시 장천면 상장리  35579 ]
[zipcode=]경북 구미시 장천면 신장리  35580 ]
[zipcode=]경북 구미시 장천면 여남리  35581 ]
[zipcode=]경북 구미시 장천면 오로리  35582 ]
[zipcode=]경북 구미시 장천면 하장리  35583 ]
[zipcode=]경북 구미시 장천면  35584 ]
[zipcode=]경북 구미시 해평면 괴곡리  35585 ]
[zipcode=]경북 구미시 해평면 금산리  35586 ]
[zipcode=]경북 구미시 해평면 금호리  35587 ]
[zipcode=]경북 구미시 해평면 낙산리  35588 ]
[zipcode=]경북 구미시 해평면 낙성리  35589 ]
[zipcode=]경북 구미시 해평면 도문리  35590 ]
[zipcode=]경북 구미시 해평면 문량리  35591 ]
[zipcode=]경북 구미시 해평면 산양리  35592 ]
[zipcode=]경북 구미시 해평면 송곡리  35593 ]
[zipcode=]경북 구미시 해평면 오상리  35594 ]
[zipcode=]경북 구미시 해평면 월곡리  35595 ]
[zipcode=]경북 구미시 해평면 월호리  35596 ]
[zipcode=]경북 구미시 해평면 일선리  35597 ]
[zipcode=]경북 구미시 해평면 창림리  35598 ]
[zipcode=]경북 구미시 해평면 해평리  35599 ]
[zipcode=]경북 구미시 해평면  35600 ]
[zipcode=]경북 구미시 구미우체국사서함  35601 ]
[zipcode=]경북 김천시 감호동  35602 ]
[zipcode=]경북 김천시 교동 코아루1차아파트 (101∼108동) 35603 ]
[zipcode=]경북 김천시 교동 1∼299 35604 ]
[zipcode=]경북 김천시 교동 300∼400 35605 ]
[zipcode=]경북 김천시 교동  35606 ]
[zipcode=]경북 김천시 남산동 1∼49 35607 ]
[zipcode=]경북 김천시 남산동 50∼250 35608 ]
[zipcode=]경북 김천시 남산동  35609 ]
[zipcode=]경북 김천시 다수동  35610 ]
[zipcode=]경북 김천시 대광동  35611 ]
[zipcode=]경북 김천시 덕곡동 김천덕곡주공아파트 (101∼106동) 35612 ]
[zipcode=]경북 김천시 덕곡동 덕곡한마음타운아파트 (101∼105동) 35613 ]
[zipcode=]경북 김천시 덕곡동  35614 ]
[zipcode=]경북 김천시 모암동 김천우체국  35615 ]
[zipcode=]경북 김천시 모암동  35616 ]
[zipcode=]경북 김천시 문당동  35617 ]
[zipcode=]경북 김천시 백옥동  35618 ]
[zipcode=]경북 김천시 부곡동 아주아트빌  35619 ]
[zipcode=]경북 김천시 부곡동 우방아파트  35620 ]
[zipcode=]경북 김천시 부곡동 주공2차아파트  35621 ]
[zipcode=]경북 김천시 부곡동 한일부곡타운  35622 ]
[zipcode=]경북 김천시 부곡동 현대아파트  35623 ]
[zipcode=]경북 김천시 부곡동 화성아파트  35624 ]
[zipcode=]경북 김천시 부곡동 1∼391 35625 ]
[zipcode=]경북 김천시 부곡동 392∼458 35626 ]
[zipcode=]경북 김천시 부곡동 459∼1500 35627 ]
[zipcode=]경북 김천시 부곡동  35628 ]
[zipcode=]경북 김천시 삼락동 김천과학대학  35629 ]
[zipcode=]경북 김천시 삼락동 김천대학교  35630 ]
[zipcode=]경북 김천시 삼락동 대구지방검찰청김천지청  35631 ]
[zipcode=]경북 김천시 삼락동 대구지방법원김천지원  35632 ]
[zipcode=]경북 김천시 삼락동  35633 ]
[zipcode=]경북 김천시 성내동 김천교육지원청  35634 ]
[zipcode=]경북 김천시 성내동  35635 ]
[zipcode=]경북 김천시 신음동 금류아파트  35636 ]
[zipcode=]경북 김천시 신음동 김천시청  35637 ]
[zipcode=]경북 김천시 신음동 우방아파트  35638 ]
[zipcode=]경북 김천시 신음동 주공그린빌아파트  35639 ]
[zipcode=]경북 김천시 신음동 해돋이타운  35640 ]
[zipcode=]경북 김천시 신음동 현대아파트  35641 ]
[zipcode=]경북 김천시 신음동 1∼1271 35642 ]
[zipcode=]경북 김천시 신음동 1272∼1284 35643 ]
[zipcode=]경북 김천시 신음동  35644 ]
[zipcode=]경북 김천시 양천동  35645 ]
[zipcode=]경북 김천시 용두동  35646 ]
[zipcode=]경북 김천시 응명동  35647 ]
[zipcode=]경북 김천시 지좌동 김천소년교도소  35648 ]
[zipcode=]경북 김천시 지좌동 덕일아파트  35649 ]
[zipcode=]경북 김천시 지좌동 아주아트빌  35650 ]
[zipcode=]경북 김천시 지좌동 1∼620 35651 ]
[zipcode=]경북 김천시 지좌동 621∼1004 35652 ]
[zipcode=]경북 김천시 지좌동  35653 ]
[zipcode=]경북 김천시 평화동 김천세무서  35654 ]
[zipcode=]경북 김천시 평화동 한일장미아파트  35655 ]
[zipcode=]경북 김천시 평화동 1∼250 35656 ]
[zipcode=]경북 김천시 평화동 251∼464 35657 ]
[zipcode=]경북 김천시 평화동  35658 ]
[zipcode=]경북 김천시 황금동 동보수정아파트  35659 ]
[zipcode=]경북 김천시 황금동 한신아파트  35660 ]
[zipcode=]경북 김천시 황금동  35661 ]
[zipcode=]경북 김천시 아포읍 국사1리  35662 ]
[zipcode=]경북 김천시 아포읍 국사2리  35663 ]
[zipcode=]경북 김천시 아포읍 국사3리  35664 ]
[zipcode=]경북 김천시 아포읍 국사리  35665 ]
[zipcode=]경북 김천시 아포읍 국사리 덕일한마음아파트  35666 ]
[zipcode=]경북 김천시 아포읍 대성리  35667 ]
[zipcode=]경북 김천시 아포읍 대신리  35668 ]
[zipcode=]경북 김천시 아포읍 봉산리  35669 ]
[zipcode=]경북 김천시 아포읍 송천리  35670 ]
[zipcode=]경북 김천시 아포읍 예리  35671 ]
[zipcode=]경북 김천시 아포읍 의리  35672 ]
[zipcode=]경북 김천시 아포읍 인리  35673 ]
[zipcode=]경북 김천시 아포읍 제석리  35674 ]
[zipcode=]경북 김천시 아포읍 지리  35675 ]
[zipcode=]경북 김천시 아포읍  35676 ]
[zipcode=]경북 김천시 감문면 광덕리  35677 ]
[zipcode=]경북 김천시 감문면 구야리  35678 ]
[zipcode=]경북 김천시 감문면 금곡리  35679 ]
[zipcode=]경북 김천시 감문면 금라리  35680 ]
[zipcode=]경북 김천시 감문면 남곡리  35681 ]
[zipcode=]경북 김천시 감문면 대양리  35682 ]
[zipcode=]경북 김천시 감문면 덕남리  35683 ]
[zipcode=]경북 김천시 감문면 도명리  35684 ]
[zipcode=]경북 김천시 감문면 문무리  35685 ]
[zipcode=]경북 김천시 감문면 보광리  35686 ]
[zipcode=]경북 김천시 감문면 삼성리  35687 ]
[zipcode=]경북 김천시 감문면 성촌리  35688 ]
[zipcode=]경북 김천시 감문면 송북리  35689 ]
[zipcode=]경북 김천시 감문면 은림리  35690 ]
[zipcode=]경북 김천시 감문면 태촌리  35691 ]
[zipcode=]경북 김천시 감문면  35692 ]
[zipcode=]경북 김천시 감천면 광기리  35693 ]
[zipcode=]경북 김천시 감천면 금송리  35694 ]
[zipcode=]경북 김천시 감천면 도평리  35695 ]
[zipcode=]경북 김천시 감천면 무안리  35696 ]
[zipcode=]경북 김천시 감천면 용호리  35697 ]
[zipcode=]경북 김천시 감천면  35698 ]
[zipcode=]경북 김천시 개령면 광천리  35699 ]
[zipcode=]경북 김천시 개령면 남전리  35700 ]
[zipcode=]경북 김천시 개령면 덕촌리  35701 ]
[zipcode=]경북 김천시 개령면 동부리  35702 ]
[zipcode=]경북 김천시 개령면 서부리  35703 ]
[zipcode=]경북 김천시 개령면 신룡리  35704 ]
[zipcode=]경북 김천시 개령면 양천리  35705 ]
[zipcode=]경북 김천시 개령면 황계리  35706 ]
[zipcode=]경북 김천시 개령면  35707 ]
[zipcode=]경북 김천시 구성면 광명리  35708 ]
[zipcode=]경북 김천시 구성면 구미리  35709 ]
[zipcode=]경북 김천시 구성면 금평리  35710 ]
[zipcode=]경북 김천시 구성면 마산리  35711 ]
[zipcode=]경북 김천시 구성면 미평리  35712 ]
[zipcode=]경북 김천시 구성면 상거리  35713 ]
[zipcode=]경북 김천시 구성면 상원리  35714 ]
[zipcode=]경북 김천시 구성면 상좌원리  35715 ]
[zipcode=]경북 김천시 구성면 송죽1리  35716 ]
[zipcode=]경북 김천시 구성면 송죽2리  35717 ]
[zipcode=]경북 김천시 구성면 송죽리  35718 ]
[zipcode=]경북 김천시 구성면 양각리  35719 ]
[zipcode=]경북 김천시 구성면 용호리  35720 ]
[zipcode=]경북 김천시 구성면 월계리  35721 ]
[zipcode=]경북 김천시 구성면 임천리  35722 ]
[zipcode=]경북 김천시 구성면 임평리  35723 ]
[zipcode=]경북 김천시 구성면 작내리  35724 ]
[zipcode=]경북 김천시 구성면 하강리  35725 ]
[zipcode=]경북 김천시 구성면 흥평1리  35726 ]
[zipcode=]경북 김천시 구성면 흥평2리  35727 ]
[zipcode=]경북 김천시 구성면 흥평리  35728 ]
[zipcode=]경북 김천시 구성면  35729 ]
[zipcode=]경북 김천시 남면 봉천리  35730 ]
[zipcode=]경북 김천시 남면 부상리  35731 ]
[zipcode=]경북 김천시 남면 송곡리  35732 ]
[zipcode=]경북 김천시 남면 오봉리  35733 ]
[zipcode=]경북 김천시 남면 옥산리  35734 ]
[zipcode=]경북 김천시 남면 용전리  35735 ]
[zipcode=]경북 김천시 남면 운곡리  35736 ]
[zipcode=]경북 김천시 남면 운남리  35737 ]
[zipcode=]경북 김천시 남면 월명리  35738 ]
[zipcode=]경북 김천시 남면 초곡리  35739 ]
[zipcode=]경북 김천시 남면  35740 ]
[zipcode=]경북 김천시 농소면 노곡리  35741 ]
[zipcode=]경북 김천시 농소면 봉곡리  35742 ]
[zipcode=]경북 김천시 농소면 신촌리  35743 ]
[zipcode=]경북 김천시 농소면 연명리  35744 ]
[zipcode=]경북 김천시 농소면 용암리  35745 ]
[zipcode=]경북 김천시 농소면 월곡1리  35746 ]
[zipcode=]경북 김천시 농소면 월곡2리  35747 ]
[zipcode=]경북 김천시 농소면 월곡리  35748 ]
[zipcode=]경북 김천시 농소면 입석리  35749 ]
[zipcode=]경북 김천시 농소면  35750 ]
[zipcode=]경북 김천시 대덕면 가례리  35751 ]
[zipcode=]경북 김천시 대덕면 관기리  35752 ]
[zipcode=]경북 김천시 대덕면 내감리  35753 ]
[zipcode=]경북 김천시 대덕면 대리  35754 ]
[zipcode=]경북 김천시 대덕면 덕산리  35755 ]
[zipcode=]경북 김천시 대덕면 문의리  35756 ]
[zipcode=]경북 김천시 대덕면 연화리  35757 ]
[zipcode=]경북 김천시 대덕면 외감리  35758 ]
[zipcode=]경북 김천시 대덕면 조룡리  35759 ]
[zipcode=]경북 김천시 대덕면 중산리  35760 ]
[zipcode=]경북 김천시 대덕면 추량리  35761 ]
[zipcode=]경북 김천시 대덕면 화전리  35762 ]
[zipcode=]경북 김천시 대덕면  35763 ]
[zipcode=]경북 김천시 대항면 대룡리  35764 ]
[zipcode=]경북 김천시 대항면 대성리  35765 ]
[zipcode=]경북 김천시 대항면 덕전리  35766 ]
[zipcode=]경북 김천시 대항면 복전리  35767 ]
[zipcode=]경북 김천시 대항면 운수리  35768 ]
[zipcode=]경북 김천시 대항면 주례리  35769 ]
[zipcode=]경북 김천시 대항면 향천1리  35770 ]
[zipcode=]경북 김천시 대항면 향천2리  35771 ]
[zipcode=]경북 김천시 대항면 향천3리  35772 ]
[zipcode=]경북 김천시 대항면 향천4리  35773 ]
[zipcode=]경북 김천시 대항면 향천리  35774 ]
[zipcode=]경북 김천시 대항면  35775 ]
[zipcode=]경북 김천시 봉산면 광천리  35776 ]
[zipcode=]경북 김천시 봉산면 덕천1리  35777 ]
[zipcode=]경북 김천시 봉산면 덕천2리  35778 ]
[zipcode=]경북 김천시 봉산면 덕천리  35779 ]
[zipcode=]경북 김천시 봉산면 상금리  35780 ]
[zipcode=]경북 김천시 봉산면 신리  35781 ]
[zipcode=]경북 김천시 봉산면 신암리  35782 ]
[zipcode=]경북 김천시 봉산면 예지리  35783 ]
[zipcode=]경북 김천시 봉산면 인의리  35784 ]
[zipcode=]경북 김천시 봉산면 태화리  35785 ]
[zipcode=]경북 김천시 봉산면  35786 ]
[zipcode=]경북 김천시 부항면 대야리  35787 ]
[zipcode=]경북 김천시 부항면 두산리  35788 ]
[zipcode=]경북 김천시 부항면 사등리  35789 ]
[zipcode=]경북 김천시 부항면 신옥리  35790 ]
[zipcode=]경북 김천시 부항면 안간리  35791 ]
[zipcode=]경북 김천시 부항면 어전리  35792 ]
[zipcode=]경북 김천시 부항면 월곡리  35793 ]
[zipcode=]경북 김천시 부항면 유촌리  35794 ]
[zipcode=]경북 김천시 부항면 지좌리  35795 ]
[zipcode=]경북 김천시 부항면 파천리  35796 ]
[zipcode=]경북 김천시 부항면 하대리  35797 ]
[zipcode=]경북 김천시 부항면 해인리  35798 ]
[zipcode=]경북 김천시 부항면 희곡리  35799 ]
[zipcode=]경북 김천시 부항면  35800 ]
[zipcode=]경북 김천시 어모면 구례리  35801 ]
[zipcode=]경북 김천시 어모면 군자리  35802 ]
[zipcode=]경북 김천시 어모면 남산리  35803 ]
[zipcode=]경북 김천시 어모면 능치리  35804 ]
[zipcode=]경북 김천시 어모면 다남리  35805 ]
[zipcode=]경북 김천시 어모면 덕마1리  35806 ]
[zipcode=]경북 김천시 어모면 덕마2리  35807 ]
[zipcode=]경북 김천시 어모면 덕마리  35808 ]
[zipcode=]경북 김천시 어모면 도암리  35809 ]
[zipcode=]경북 김천시 어모면 동좌리  35810 ]
[zipcode=]경북 김천시 어모면 옥계리  35811 ]
[zipcode=]경북 김천시 어모면 옥율리  35812 ]
[zipcode=]경북 김천시 어모면 은기리  35813 ]
[zipcode=]경북 김천시 어모면 중왕리  35814 ]
[zipcode=]경북 김천시 어모면  35815 ]
[zipcode=]경북 김천시 조마면 강곡리  35816 ]
[zipcode=]경북 김천시 조마면 대방리  35817 ]
[zipcode=]경북 김천시 조마면 삼산리  35818 ]
[zipcode=]경북 김천시 조마면 신곡리  35819 ]
[zipcode=]경북 김천시 조마면 신안리  35820 ]
[zipcode=]경북 김천시 조마면 신왕리  35821 ]
[zipcode=]경북 김천시 조마면 장암리  35822 ]
[zipcode=]경북 김천시 조마면  35823 ]
[zipcode=]경북 김천시 증산면 금곡리  35824 ]
[zipcode=]경북 김천시 증산면 동안리  35825 ]
[zipcode=]경북 김천시 증산면 부항리  35826 ]
[zipcode=]경북 김천시 증산면 수도리  35827 ]
[zipcode=]경북 김천시 증산면 유성1리  35828 ]
[zipcode=]경북 김천시 증산면 유성2리  35829 ]
[zipcode=]경북 김천시 증산면 유성리  35830 ]
[zipcode=]경북 김천시 증산면 장전리  35831 ]
[zipcode=]경북 김천시 증산면 평촌리  35832 ]
[zipcode=]경북 김천시 증산면 황점리  35833 ]
[zipcode=]경북 김천시 증산면 황정리  35834 ]
[zipcode=]경북 김천시 증산면 황항리  35835 ]
[zipcode=]경북 김천시 증산면  35836 ]
[zipcode=]경북 김천시 지례면 거물리  35837 ]
[zipcode=]경북 김천시 지례면 관덕리  35838 ]
[zipcode=]경북 김천시 지례면 교리  35839 ]
[zipcode=]경북 김천시 지례면 대율리  35840 ]
[zipcode=]경북 김천시 지례면 도곡리  35841 ]
[zipcode=]경북 김천시 지례면 상부리  35842 ]
[zipcode=]경북 김천시 지례면 신평리  35843 ]
[zipcode=]경북 김천시 지례면 여배리  35844 ]
[zipcode=]경북 김천시 지례면 울곡리  35845 ]
[zipcode=]경북 김천시 지례면 이전리  35846 ]
[zipcode=]경북 김천시 지례면  35847 ]
[zipcode=]경북 김천시 김천우체국사서함  35848 ]
[zipcode=]경북 문경시 공평동  35849 ]
[zipcode=]경북 문경시 모전동 국민연금공단문경지사  35850 ]
[zipcode=]경북 문경시 모전동 문경경찰서  35851 ]
[zipcode=]경북 문경시 모전동 문경등기소  35852 ]
[zipcode=]경북 문경시 모전동 문경시청  35853 ]
[zipcode=]경북 문경시 모전동 1∼81 35854 ]
[zipcode=]경북 문경시 모전동 82∼258 35855 ]
[zipcode=]경북 문경시 모전동 259∼263 35856 ]
[zipcode=]경북 문경시 모전동 264∼298 35857 ]
[zipcode=]경북 문경시 모전동 299∼562 35858 ]
[zipcode=]경북 문경시 모전동 563∼569 35859 ]
[zipcode=]경북 문경시 모전동 570∼600 35860 ]
[zipcode=]경북 문경시 모전동 601∼990 35861 ]
[zipcode=]경북 문경시 모전동  35862 ]
[zipcode=]경북 문경시 불정동  35863 ]
[zipcode=]경북 문경시 신기동  35864 ]
[zipcode=]경북 문경시 영신동  35865 ]
[zipcode=]경북 문경시 우지동  35866 ]
[zipcode=]경북 문경시 유곡동  35867 ]
[zipcode=]경북 문경시 윤직동  35868 ]
[zipcode=]경북 문경시 점촌동 국민건강보험공단문경지사  35869 ]
[zipcode=]경북 문경시 점촌동 문경우체국  35870 ]
[zipcode=]경북 문경시 점촌동 1∼48 35871 ]
[zipcode=]경북 문경시 점촌동 49∼89 35872 ]
[zipcode=]경북 문경시 점촌동 90∼127 35873 ]
[zipcode=]경북 문경시 점촌동 128∼157 35874 ]
[zipcode=]경북 문경시 점촌동 158∼161 35875 ]
[zipcode=]경북 문경시 점촌동 162∼176 35876 ]
[zipcode=]경북 문경시 점촌동 177∼181 35877 ]
[zipcode=]경북 문경시 점촌동 182∼207 35878 ]
[zipcode=]경북 문경시 점촌동 208∼240 35879 ]
[zipcode=]경북 문경시 점촌동 241∼291 35880 ]
[zipcode=]경북 문경시 점촌동 292∼334 35881 ]
[zipcode=]경북 문경시 점촌동 335∼445 35882 ]
[zipcode=]경북 문경시 점촌동 446∼520 35883 ]
[zipcode=]경북 문경시 점촌동  35884 ]
[zipcode=]경북 문경시 창동  35885 ]
[zipcode=]경북 문경시 흥덕동 1∼197 35886 ]
[zipcode=]경북 문경시 흥덕동 198∼240 35887 ]
[zipcode=]경북 문경시 흥덕동 241∼336 35888 ]
[zipcode=]경북 문경시 흥덕동 337∼341 35889 ]
[zipcode=]경북 문경시 흥덕동 342∼399 35890 ]
[zipcode=]경북 문경시 흥덕동 400∼707 35891 ]
[zipcode=]경북 문경시 흥덕동 708∼795 35892 ]
[zipcode=]경북 문경시 흥덕동 796∼950 35893 ]
[zipcode=]경북 문경시 흥덕동  35894 ]
[zipcode=]경북 문경시 가은읍 갈전리  35895 ]
[zipcode=]경북 문경시 가은읍 민지리  35896 ]
[zipcode=]경북 문경시 가은읍 상괴리  35897 ]
[zipcode=]경북 문경시 가은읍 성유리  35898 ]
[zipcode=]경북 문경시 가은읍 성저리  35899 ]
[zipcode=]경북 문경시 가은읍 수예리  35900 ]
[zipcode=]경북 문경시 가은읍 완장리  35901 ]
[zipcode=]경북 문경시 가은읍 왕능리  35902 ]
[zipcode=]경북 문경시 가은읍 원북리  35903 ]
[zipcode=]경북 문경시 가은읍 작천리  35904 ]
[zipcode=]경북 문경시 가은읍 저음리  35905 ]
[zipcode=]경북 문경시 가은읍 전곡리  35906 ]
[zipcode=]경북 문경시 가은읍 죽문리  35907 ]
[zipcode=]경북 문경시 가은읍 하괴1리  35908 ]
[zipcode=]경북 문경시 가은읍 하괴2리  35909 ]
[zipcode=]경북 문경시 가은읍 하괴3리  35910 ]
[zipcode=]경북 문경시 가은읍 하괴리  35911 ]
[zipcode=]경북 문경시 가은읍  35912 ]
[zipcode=]경북 문경시 문경읍 각서리  35913 ]
[zipcode=]경북 문경시 문경읍 갈평리  35914 ]
[zipcode=]경북 문경시 문경읍 고요리  35915 ]
[zipcode=]경북 문경시 문경읍 관음리  35916 ]
[zipcode=]경북 문경시 문경읍 교촌리  35917 ]
[zipcode=]경북 문경시 문경읍 당포리  35918 ]
[zipcode=]경북 문경시 문경읍 마원리  35919 ]
[zipcode=]경북 문경시 문경읍 상리  35920 ]
[zipcode=]경북 문경시 문경읍 상초리  35921 ]
[zipcode=]경북 문경시 문경읍 요성리  35922 ]
[zipcode=]경북 문경시 문경읍 용연리  35923 ]
[zipcode=]경북 문경시 문경읍 중평리  35924 ]
[zipcode=]경북 문경시 문경읍 지곡리  35925 ]
[zipcode=]경북 문경시 문경읍 진안리  35926 ]
[zipcode=]경북 문경시 문경읍 팔영리  35927 ]
[zipcode=]경북 문경시 문경읍 평천리  35928 ]
[zipcode=]경북 문경시 문경읍 하리  35929 ]
[zipcode=]경북 문경시 문경읍 하초리  35930 ]
[zipcode=]경북 문경시 문경읍  35931 ]
[zipcode=]경북 문경시 농암면 갈동리  35932 ]
[zipcode=]경북 문경시 농암면 궁기리  35933 ]
[zipcode=]경북 문경시 농암면 내서리  35934 ]
[zipcode=]경북 문경시 농암면 농암1리  35935 ]
[zipcode=]경북 문경시 농암면 농암2리  35936 ]
[zipcode=]경북 문경시 농암면 농암리  35937 ]
[zipcode=]경북 문경시 농암면 사현리  35938 ]
[zipcode=]경북 문경시 농암면 선곡리  35939 ]
[zipcode=]경북 문경시 농암면 연천리  35940 ]
